x_pos,y_pos,orientation_x,orientation_y,orientation_z,orientation_w
-6.976243019104004,11.936426162719727,-0.0011568814516067505,0.007197297178208828,0.9921629428863525,-0.12473747879266739
-7.203607082366943,11.874161720275879,-0.000912010669708252,0.004582817666232586,0.9910866022109985,-0.13313722610473633
-7.430413722991943,11.810030937194824,-0.0008054524660110474,0.0033789637964218855,0.9903421998023987,-0.1386009156703949
-7.655115127563477,11.73988151550293,-0.0015552341938018799,0.006887616589665413,0.988532304763794,-0.15084443986415863
-7.87791633605957,11.664565086364746,-0.002695620059967041,0.012573137879371643,0.9863342046737671,-0.16425465047359467
-8.099507331848145,11.585962295532227,-0.003330916166305542,0.015959931537508965,0.9849963784217834,-0.17180265486240387
-8.31982135772705,11.504156112670898,-0.0028488337993621826,0.01316139567643404,0.9838364124298096,-0.17856228351593018
-8.539780616760254,11.42138385772705,-0.0013124346733093262,0.0055056968703866005,0.9836332201957703,-0.18009328842163086
-8.757184982299805,11.332918167114258,-0.0005815327167510986,0.0009807967580854893,0.9814997315406799,-0.1914607286453247
-8.972600936889648,11.240053176879883,-0.0012375563383102417,0.0033771509770303965,0.9790849685668945,-0.20341962575912476
-9.185626983642578,11.142271995544434,-0.003013506531715393,0.011111101135611534,0.9766086339950562,-0.2147161364555359
-9.396096229553223,11.039624214172363,-0.004510343074798584,0.017235133796930313,0.9737152457237244,-0.2270708978176117
-9.60586166381836,10.935545921325684,-0.004171386361122131,0.016106588765978813,0.9728732109069824,-0.23073989152908325
-9.812646865844727,10.826330184936523,-0.0030274689197540283,0.010273640975356102,0.9704568982124329,-0.2410365343093872
-10.01826286315918,10.714996337890625,-0.0015736371278762817,0.0036382190883159637,0.9689699411392212,-0.2471470683813095
-10.221272468566895,10.599327087402344,-0.0012802332639694214,0.001967351185157895,0.9666608572006226,-0.25604891777038574
-10.419108390808105,10.476009368896484,-0.003348246216773987,0.008227678947150707,0.9612423181533813,-0.2755621075630188
-10.614255905151367,10.348596572875977,-0.0058898478746414185,0.017117351293563843,0.9573988914489746,-0.28820091485977173
-10.804832458496094,10.215112686157227,-0.005216047167778015,0.01821587234735489,0.95241779088974,-0.3042062520980835
-10.990975379943848,10.076130867004395,-0.004469320178031921,0.015567192807793617,0.9479466080665588,-0.31801748275756836
-11.175631523132324,9.93525218963623,-0.003196537494659424,0.009881831705570221,0.9465790390968323,-0.3223046660423279
-11.357095718383789,9.790605545043945,-0.0021277666091918945,0.0039355880580842495,0.9438384175300598,-0.3303773105144501
-11.537853240966797,9.645024299621582,-0.0012851953506469727,-6.382260471582413e-05,0.9427456855773926,-0.33351022005081177
-11.71509838104248,9.495417594909668,-0.0019581615924835205,0.001642935210838914,0.9393131732940674,-0.34305113554000854
-11.890456199645996,9.343649864196777,-0.0032273828983306885,0.0064664920791983604,0.9364719390869141,-0.3506682217121124
-12.063422203063965,9.189332962036133,-0.004339128732681274,0.011142656207084656,0.9339429140090942,-0.3572219908237457
-12.233827590942383,9.032437324523926,-0.00426127016544342,0.011863557621836662,0.9309307932853699,-0.3649779260158539
-12.40296745300293,8.874282836914062,-0.002981916069984436,0.008557509630918503,0.9296178221702576,-0.368413507938385
-12.56891918182373,8.713069915771484,-0.001842692494392395,0.004401007667183876,0.9264946579933167,-0.37627750635147095
-12.73449993133545,8.551462173461914,-0.0009705424308776855,0.0010398454032838345,0.9257557988166809,-0.37811940908432007
-12.898777961730957,8.388535499572754,-0.0006652623414993286,-0.00019614771008491516,0.9246971011161804,-0.3807029724121094
-13.062782287597656,8.225303649902344,-0.0005441606044769287,-6.142072379589081e-05,0.9241654276847839,-0.3819921314716339
-13.226651191711426,8.061907768249512,-0.0004571676254272461,0.0007518783677369356,0.9240933656692505,-0.38216596841812134
-13.389007568359375,7.897093772888184,-0.0007443130016326904,0.0023303597699850798,0.922507643699646,-0.3859712481498718
-13.551079750061035,7.732044696807861,-0.0010187774896621704,0.003361777402460575,0.9218050241470337,-0.38763806223869324
-13.710882186889648,7.5649614334106445,-0.0017696171998977661,0.004675910808146,0.9195460081100464,-0.3929505944252014
-13.870048522949219,7.397326469421387,-0.0021181702613830566,0.004682757891714573,0.9183571934700012,-0.3957192301750183
-14.029026985168457,7.229504108428955,-0.0016228705644607544,0.002911817515268922,0.9183942079544067,-0.39565250277519226
-14.18769645690918,7.06137228012085,-0.00040437281131744385,-3.453134559094906e-05,0.918257474899292,-0.3959836959838867
-14.34471607208252,6.891761779785156,6.0051679611206055e-05,-0.000881468178704381,0.9164952635765076,-0.40004491806030273
-14.501688003540039,6.7220964431762695,-0.00021888315677642822,0.0002472677733749151,0.9160703420639038,-0.4010173976421356
-14.658550262451172,6.5523295402526855,-0.0005543231964111328,0.0015284442342817783,0.9160634875297546,-0.4010299742221832
-14.813995361328125,6.381363868713379,-0.001073300838470459,0.0028459979221224785,0.9145807027816772,-0.40439215302467346
-14.967182159423828,6.208535671234131,-0.0020932406187057495,0.004724593833088875,0.9116967916488647,-0.4108312427997589
-15.120248794555664,6.035603046417236,-0.002565041184425354,0.0053102062083780766,0.9112977981567383,-0.4117054045200348
-15.273168563842773,5.862528324127197,-0.0015874356031417847,0.0029081394895911217,0.9114663600921631,-0.41136136651039124
-15.426039695739746,5.689393997192383,0.00019691884517669678,-0.0009382793214172125,0.9115813374519348,-0.41111865639686584
-15.578829765319824,5.516177177429199,0.0014480948448181152,-0.0033580090384930372,0.911568284034729,-0.4111323654651642
-15.731550216674805,5.342895984649658,0.0014535188674926758,-0.0029889640863984823,0.9114795327186584,-0.41133180260658264
-15.88425350189209,5.169610977172852,0.0004940629005432129,-0.0006563679780811071,0.9113912582397461,-0.41154009103775024
-16.03699493408203,4.996371746063232,-0.0005677193403244019,0.0016457864549010992,0.9113581776618958,-0.41161075234413147
-16.18979263305664,4.823190212249756,-0.0009983032941818237,0.0023547778837382793,0.9113942980766296,-0.4115263819694519
-16.342618942260742,4.650035381317139,-0.0006571859121322632,0.0013149038422852755,0.9114634990692139,-0.41137826442718506
-16.49543571472168,4.476866722106934,4.400312900543213e-05,-0.0004065553657710552,0.9115094542503357,-0.4112791419029236
-16.648218154907227,4.3036580085754395,0.000545799732208252,-0.0014994461089372635,0.9115051627159119,-0.411285400390625
-16.80097007751465,4.130418300628662,0.0005541443824768066,-0.0013508540578186512,0.9114664793014526,-0.4113718271255493
